"dur","int","norm","dia"
0.128,59.5,1,"ï"
0.087,54.7,1,"ï"
0.112,64.6,1,"ï"
0.173,58.3,1,"ï"
0.097,48.4,1,"ï"
0.133,61,1,"ï"
0.112,58.8,1,"ï"
0.102,60.3,1,"ï"
0.127,59.1,1,"ï"
0.107,53.1,1,"ï"
0.046,63.4,1,"ï"
0.061,56.1,1,"ï"
0.224,47.1,1,"ï"
0.034,62.3,1,"ï"
0.031,57.8,1,"ï"
0.048,60.2,1,"ï"
0.058,60.2,1,"ï"
0.056,53.3,1,"ï"
0.064,61,1,"ï"
0.073,60.7,1,"ï"
0.077,54.8,1,"ï"
0.064,63.5,1,"ï"
0.061,61,1,"ï"
0.029,61.9,1,"ï"
0.048,63.4,1,"ï"
0.038,61.3,1,"ï"
0.061,52.5,1,"ï"
0.074,58.8,1,"ï"
0.024,60.2,1,"ï"
0.02,56.8,1,"ï"
0.12,62.7,1,"ï"
0.143,57.2,1,"ï"
0.11,44.2,1,"ï"
0.056,59.6,1,"ï"
0.1,52.9,1,"ï"
0.092,44,1,"ï"
0.112,56.9,1,"â"
0.133,50.9,1,"â"
0.092,66.7,1,"â"
0.055,85.7,1,"è"
0.041,77.7,1,"è"
0.041,74.8,1,"è"
0.047,57.5,1,"è"
0.038,58.9,1,"è"
0.085,55.5,1,"è"
0.048,72.6,1,"è"
0.087,72.1,1,"è"
0.06,62.8,1,"è"
0.027,69.3,1,"è"
0.037,70.5,1,"è"
0.04,74.4,1,"è"
0.057,76.3,1,"è"
0.056,76.5,1,"è"
0.073,73.6,1,"è"
0.038,76.6,1,"è"
0.066,78.2,1,"è"
0.064,70.3,1,"è"
0.057,73.5,1,"è"
0.104,61.1,1,"è"
0.057,74.3,1,"è"
0.062,78.2,1,"è"
0.069,71.4,1,"è"
0.102,72,1,"è"
0.053,82.1,1,"è"
0.032,77.4,1,"è"
0.052,73.2,1,"è"
0.144,76.9,1,"è"
0.06,69.3,1,"è"
0.046,70.1,1,"è"
0.065,57,1,"è"
0.089,52.2,1,"è"
0.056,50.9,1,"è"
0.068,76.9,1,"è"
0.028,70.7,1,"è"
0.066,77.2,1,"è"
0.065,73.3,1,"è"
0.062,70.5,1,"è"
0.087,70.9,1,"è"
0.066,75.4,1,"è"
0.062,69.7,1,"è"
0.08,69.1,1,"è"
0.056,73,1,"è"
0.068,76.4,1,"è"
0.07,75.1,1,"è"
0.096,76.1,1,"è"
0.052,79.2,1,"è"
0.038,81.8,1,"è"
0.042,83.6,1,"è"
0.056,75.9,1,"è"
0.051,72.6,1,"è"
0.057,72.6,1,"è"
0.062,69,1,"ñ"
0.07,70.7,1,"ñ"
0.061,74,1,"ñ"
0.051,76.2,1,"ñ"
0.042,76,1,"ñ"
0.104,75.1,1,"ñ"
0.08,73.3,1,"ñ"
0.082,71.6,1,"ñ"
0.052,65.9,1,"ñ"
0.063,66.2,1,"ñ"
0.044,66.5,1,"ñ"
0.082,84.5,1,"ñ"
0.083,83.3,1,"ñ"
0.085,84.4,1,"ñ"
0.048,67.9,0,"ò"
0.038,64.8,0,"ò"
0.036,64.7,0,"ò"
