"dur","int","norm","dia"
0.102,60.1,1,"ï"
0.102,54.1,1,"ï"
0.077,57.4,1,"ï"
0.096,51.4,1,"ï"
0.107,38.5,1,"ï"
0.183,33.1,1,"ï"
0.107,49.8,0,"ï"
0.107,46.2,0,"ï"
0.133,41.8,0,"ï"
0.107,56.4,0,"ï"
0.096,54.2,0,"ï"
0.081,45.8,0,"ï"
0.117,42.8,0,"ï"
0.102,36,0,"ï"
0.158,52.8,0,"ï"
0.219,47.6,0,"ï"
0.199,40.9,0,"ï"
0.255,31.7,0,"ï"
0.23,52,1,"ï"
0.245,51.7,1,"ï"
0.265,46.5,0,"ï"
0.091,49.5,0,"ï"
0.096,41.8,0,"ï"
0.117,49.7,0,"ï"
0.148,47.8,0,"ï"
0.097,43.7,0,"ï"
0.133,50.4,0,"ï"
0.189,46.7,0,"ï"
0.173,43.2,0,"ï"
0.143,59,0,"ï"
0.112,47.6,0,"ï"
0.153,40.7,0,"ï"
0.219,50.8,0,"ï"
0.173,48,0,"ï"
0.189,38.4,0,"ï"
0.112,63.3,0,"â"
0.091,58.6,0,"â"
0.132,52.5,0,"â"
0.16,72.4,0,"â"
0.148,70.9,0,"ä"
0.112,56.1,0,"ä"
0.147,69.8,0,"ä"
0.133,68.9,0,"ä"
0.163,56.4,0,"ä"
0.158,65.8,0,"ä"
0.153,69,0,"ä"
0.142,58.5,0,"ä"
0.122,61.7,1,"è"
0.107,56.2,1,"è"
0.132,52,1,"è"
0.102,69.5,1,"è"
0.096,68.8,1,"è"
0.107,65.4,1,"è"
0.117,65.3,1,"è"
0.102,61.3,1,"è"
0.137,56.3,1,"è"
0.132,62.9,1,"è"
0.127,59.4,1,"è"
0.112,55.7,1,"è"
0.117,41.7,1,"è"
0.091,43.7,1,"è"
0.137,41.2,1,"è"
0.112,63.2,1,"è"
0.117,61,1,"è"
0.112,54.8,1,"è"
0.086,56.3,1,"è"
0.133,47.1,1,"è"
0.128,43.1,1,"è"
0.112,63.8,1,"è"
0.092,61.3,1,"è"
0.117,57.8,1,"è"
0.086,64.2,1,"è"
0.132,54.3,1,"è"
0.133,59.7,1,"è"
0.102,43.6,1,"è"
0.128,43.7,1,"è"
0.143,41.6,1,"è"
0.163,71.3,0,"ñ"
0.209,72.5,0,"ñ"
0.128,68.3,0,"ñ"
0.163,66.8,0,"ñ"
0.102,62.9,0,"ñ"
0.153,58.7,0,"ñ"
0.143,55.4,0,"ò"
0.143,55.5,0,"ò"
0.153,55.5,0,"ò"
